,country,fireArms,militaryArms,lawEnfArms,GDPPC,genderEquality,genderEqualityInEconomy,genderEqualityInEducation,genderEqualityInHealth,genderEqualityInPolitic,giniWB,giniCIA,homicideByGuns,suicideByGuns,gunDeath,gunViolence,HIVCases,HIVDeaths,homeless,homicideRate,immigrants,emigrants,incarcerations,incarcerationMrate,incarcerationFrate,jewishPop,literacyRate,activeDutyMilitary,paramilitary,reservesMilitary,annualMinimalWageEarnings,MurderRate,nobelPrize,obesityRate,oilProduction,oilReserves,PISAScore,policeKillings,povertyRate,christians,muslims,hindus,buddhists,folkReligions,jews,smokingRate,smokingRateMale,smokingRateFemale,suicideRate,suicideRateMale,suicideRateFemale,unemploymentRate,gini,workWeekAverage
140,Djibouti,28000.0,19855.0,5000.0,5096.0,,,,,,41.6,41.6,,,,23.0,6800.0,500.0,,,119738.0,18365.0,662.0,0.95,0.05,,67.9,10450.0,2650.0,0.0,,,,13.5,,,,,21.1,20000.0,860000.0,5000.0,5000.0,5000.0,5000.0,,,,9.6,12.6,6.4,26.1,41.6,
141,Laos,215000.0,224690.0,21000.0,8111.0,0.75,0.915,0.965,0.975,0.146,38.8,36.4,,,,72.0,15000.0,500.0,,,48731.0,1296051.0,9000.0,0.86,0.14,,79.8675,29100.0,100000.0,0.0,,,,5.3,,,,,18.3,90000.0,5000.0,5000.0,4100000.0,1910000.0,5000.0,37.8,60.1,15.5,5.4,7.6,3.2,9.4,38.8,
142,Moldova,121000.0,98600.0,21000.0,12811.0,0.768,0.811,0.996,0.98,0.286,25.7,25.7,0.45,0.42,41.0,40.0,14000.0,500.0,,4.0968,104438.0,1159443.0,6423.0,0.94,0.06,,99.2444,5150.0,900.0,58000.0,,4.0968,,18.9,,,,,7.3,3480000.0,20000.0,5000.0,5000.0,5000.0,20000.0,25.3,44.6,6.0,14.7,26.1,4.1,3.8,25.7,
143,Kazakhstan,504000.0,375690.0,65000.0,26565.0,0.71,0.728,0.995,0.975,0.141,27.8,27.5,,,,337.0,35000.0,500.0,5500.0,5.0608,3732073.0,4203899.0,33217.0,0.95,0.05,,99.7878,39000.0,31500.0,0.0,,5.0608,,21.0,1937000.0,30.0,,,4.3,3970000.0,11290000.0,5000.0,40000.0,50000.0,5000.0,24.4,42.2,6.6,17.6,29.0,6.8,4.9,27.8,
144,Zimbabwe,455000.0,91580.0,23000.0,2622.0,0.732,0.763,0.977,0.98,0.21,50.3,44.3,0.3,0.09,57.0,632.0,1300000.0,22000.0,10000.0,7.4799,416141.0,1243314.0,20407.0,0.98,0.02,500.0,86.8735,29000.0,21800.0,0.0,,7.4799,,15.5,,,,,38.3,10930000.0,110000.0,5000.0,5000.0,480000.0,10000.0,13.9,26.5,1.3,14.1,20.0,8.8,16.9,50.3,
145,Kyrgyzstan,171000.0,145010.0,18000.0,5036.0,0.681,0.646,0.99,0.98,0.108,29.7,27.7,0.53,0.07,64.0,76.0,9200.0,100.0,,2.1891,199011.0,774377.0,10142.0,0.96,0.04,500.0,99.5013,10900.0,9500.0,0.0,,2.1891,,16.6,700.0,,,,20.1,610000.0,4690000.0,5000.0,5000.0,5000.0,5000.0,27.9,52.5,3.4,7.4,11.7,3.2,4.5,29.7,
146,Mauritania,120000.0,22820.0,10000.0,5834.0,0.606,0.44,0.879,0.957,0.147,32.6,32.6,,,,85.0,8500.0,500.0,,,182286.0,130226.0,2175.0,0.99,0.01,,52.1236,15850.0,5000.0,0.0,,,,12.7,,,,,31.0,5000.0,3430000.0,5000.0,5000.0,20000.0,5000.0,,,,3.1,4.0,2.2,10.3,32.6,
147,Romania,506000.0,240180.0,251000.0,30526.0,0.7,0.723,0.997,0.98,0.1,35.8,36.0,0.04,0.06,27.0,61.0,19000.0,500.0,15000.0,1.2816,705310.0,3987093.0,22921.0,0.96,0.05,,98.757,69300.0,57000.0,50000.0,,1.2816,5.0,22.5,63000.0,0.6,,,23.8,21380000.0,70000.0,5000.0,5000.0,5000.0,5000.0,25.5,35.2,15.8,9.7,16.5,3.3,5.0,35.8,34.5
148,Netherlands,442000.0,108676.0,96000.0,57534.0,0.762,0.713,1.0,0.962,0.375,28.1,28.5,0.29,0.28,99.0,126.0,24000.0,100.0,36000.0,0.5862,2358333.0,970403.0,10542.0,0.95,0.05,30000.0,99.0,35400.0,5900.0,4500.0,23520.56,0.5862,22.0,20.4,33000.0,,1507.0,5.0,13.6,8410000.0,1000000.0,80000.0,40000.0,30000.0,30000.0,23.4,25.6,21.3,11.8,15.5,8.3,3.8,28.1,27.7
149,Haiti,291000.0,380.0,15000.0,2916.0,,,,,,41.1,41.1,,,,734.0,150000.0,2200.0,37867.0,6.6797,18884.0,1769671.0,11500.0,0.96,0.04,,60.6893,150.0,50.0,0.0,,6.6797,,22.7,,,,,58.5,8690000.0,5000.0,5000.0,5000.0,220000.0,5000.0,8.3,13.3,3.3,9.6,11.8,7.6,14.1,41.1,
